# ipa-fr.tsv —— 由 scripts/build-ipa.ts 生成，可手工修正
# 数据源：open-dict-data/ipa-dict fr_FR（MIT）
# 已按标准加拿大法语调整：â → /ɑ/，闭音节 ê / aî → /ɛː/（见 toCanadianStandard）
# 只收能归约成单个词的条目，多词语块手写在 ipa-fr-manual.tsv
# 格式：<词条><TAB><音标>，词条须与 _src.psv 第 3 列完全一致
dénonce	/denɔ̃s/
éventuellement	/evɑ̃tɥɛlmɑ̃/
sensible	/sɑ̃sibl/
la librairie	/libʁɛʁi/
le collège	/kɔlɛʒ/
la monnaie	/mɔnɛ/
demander	/dəmɑ̃de/
le formulaire	/fɔʁmylɛʁ/
le renouvellement / renouveler	/ʁənuvɛlmɑ̃/ / /ʁənuvle/
être	/ɛːtʁ/
avoir	/avwaʁ/
aller	/ale/
faire	/fɛʁ/
pouvoir	/puvwaʁ/
vouloir	/vulwaʁ/
devoir	/dəvwaʁ/
savoir	/savwaʁ/
connaître	/kɔnɛːtʁ/
venir	/vəniʁ/
prendre	/pʁɑ̃dʁ/
mettre	/mɛtʁ/
dire	/diʁ/
voir	/vwaʁ/
croire	/kʁwaʁ/
écrire	/ekʁiʁ/
lire	/liʁ/
recevoir	/ʁəsəvwaʁ/
falloir	/falwaʁ/
valoir	/valwaʁ/
offrir / ouvrir	/ɔfʁiʁ/ / /uvʁiʁ/
partir / sortir / dormir	/paʁtiʁ/ / /sɔʁtiʁ/ / /dɔʁmiʁ/
suivre	/sɥivʁ/
vivre	/vivʁ/
imparfait	/ɛ̃paʁfɛ/
en / y	/ɑ̃/ / /i/
on	/ɔ̃/
le problème	/pʁɔblɛm/
le groupe	/gʁup/
le domaine	/dɔmɛn/
le salaire	/salɛʁ/
le silence	/silɑ̃s/
le musée	/myze/
le magasin	/magazɛ̃/
l'hôpital	/ɔpital/
l'argent	/aʁʒɑ̃/
l'emploi	/ɑ̃plwa/
la fin	/fɛ̃/
la part	/paʁ/
la façon	/fasɔ̃/
la fois	/fwa/
la plupart	/plypaʁ/
la santé	/sɑ̃te/
l'eau	/o/
l'entreprise	/ɑ̃tʁəpʁiz/
l'année	/ane/
l'expérience	/ɛkspeʁjɑ̃s/
l'assurance	/asyʁɑ̃s/
le livre / la livre	/livʁ/ / /livʁ/
le poste / la poste	/pɔst/ / /pɔst/
le tour / la tour	/tuʁ/ / /tuʁ/
le mode / la mode	/mɔd/ / /mɔd/
le critique / la critique	/kʁitik/ / /kʁitik/
le manche / la manche	/mɑ̃ʃ/ / /mɑ̃ʃ/
les gens	/ʒɑ̃/
les vacances	/vakɑ̃s/
les frais	/fʁɛ/
les renseignements	/ʁɑ̃sɛɲəmɑ̃/
important / considérable	/ɛ̃pɔʁtɑ̃/ / /kɔ̃sideʁabl/
majeur / mineur	/maʒœʁ/ / /minœʁ/
